,x [mm],y [mm],u_rms [m/s],v_rms [m/s],u [m/s],w,v [m/s],Reynold_stress_uv,case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],vorticity_xy,u_rate_of_change,y_plus,u_plus
0,-1.05555555556,1.3734939759,1.98295229026,1.03466071923,9.09810643403,0.103325734596,0.582632676786,-1.57613528967,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1777.47850272,1.82233744691,47.6236261521,17.2662470779
1,-1.05555555556,1.8313253012,1.99610251495,1.03512630299,9.9324296025,0.101251148027,0.701565436614,-1.62298126276,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1740.20235314,1.81755113769,63.4981682028,18.8496128117
2,-1.05555555556,2.28915662651,1.98110004339,1.0346140691,10.7645614487,0.0998500245295,0.818452858452,-1.64582894576,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1719.35051321,1.74479470116,79.3727102536,20.4288198875
3,-1.05555555556,2.74698795181,1.96496110905,1.02748103527,11.5633831191,0.103438696902,0.933076887349,-1.65179028946,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1679.3902966,1.71547090939,95.2472523043,21.9448114218
4,-1.05555555556,3.20481927711,1.92486063827,1.01271191854,12.348779439,0.0989067473297,1.03362373795,-1.60366973147,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1668.64041987,1.74300617445,111.121794355,23.4353245317
5,-1.05555555556,3.66265060241,1.86473790992,0.979431301002,13.1467822659,0.100213560288,1.12939275599,-1.50411833898,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1670.81399946,1.73406411715,126.996336406,24.9497620773
6,-1.05555555556,4.12048192771,1.78095536794,0.940987728344,13.9406911388,0.100364940557,1.21832358788,-1.36648830856,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1616.48685295,1.62224688864,142.870878456,26.4564301797
7,-1.05555555556,4.57831325301,1.69666541832,0.903074602282,14.6834065818,0.106382088306,1.30956878034,-1.2288630834,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1538.88937548,1.55575248236,158.745420507,27.8659441748
8,-1.05555555556,5.03614457831,1.5968921073,0.865185526381,15.3956788026,0.0975251106524,1.39789682152,-1.08102307092,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1488.85855917,1.52575425236,174.619962558,29.217683489
9,-1.05555555556,5.49397590361,1.47126604907,0.807458429203,16.0942168941,0.0743748591602,1.49187297357,-0.904602273447,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1421.40133594,1.42191154036,190.494504609,30.5433583827
10,-1.05555555556,5.95180722892,1.33373804824,0.743034090735,16.7452125391,0.0754210333984,1.58575308374,-0.731040334302,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1310.41209529,1.3046941553,206.369046659,31.7788079496
11,-1.05555555556,6.40963855422,1.18586544868,0.675143841611,17.3425423933,0.0844960562752,1.67335164524,-0.561339438158,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1186.75378365,1.17294430122,222.24358871,32.9124114005
12,-1.05555555556,6.86746987952,0.998481101894,0.606111215658,17.8795530372,0.0892805089119,1.75220193294,-0.382572934423,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1030.28036313,0.99834394265,238.118130761,33.9315419777
13,-1.05555555556,7.32530120482,0.786355874947,0.535481545018,18.3366261676,0.0860935683174,1.82399335458,-0.218513143913,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-825.779393253,0.761407795711,253.992672811,34.7989683657
14,-1.05555555556,7.78313253012,0.582647056177,0.462227579913,18.6852225078,0.08917109396,1.885766717,-0.0999945481636,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-580.031386065,0.510959331674,269.867214862,35.4605291623
15,-1.05555555556,8.24096385542,0.41683980832,0.390474779901,18.9191556958,0.0958730248443,1.93526072501,-0.0330895429089,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-348.394647956,0.295158352017,285.741756913,35.9044839844
16,-1.05555555556,8.69879518072,0.321519341371,0.326823691172,19.0542884353,0.0900646687994,1.97597973529,-0.00944631384667,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-172.606581724,0.164932099528,301.616298964,36.1609368282
17,-1.05555555556,9.15662650602,0.270945689498,0.268654386159,19.129799517,0.0789608023238,2.00658296469,-0.00393224043126,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-75.8128539823,0.101065709631,317.490841014,36.3042406029
18,-1.05555555556,9.61445783133,0.238385426157,0.223151451988,19.1760705648,0.0751070342806,2.02960258989,-0.00312431308641,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-27.8117468994,0.076822669019,333.365383065,36.3920530888
19,-1.05555555556,10.0722891566,0.215407634206,0.187565834523,19.2112423891,0.0694632092555,2.05048340321,-0.00315878902452,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-10.3663884787,0.0644927698632,349.239925116,36.4588016385
20,-1.05555555556,10.5301204819,0.199532258377,0.161939599614,19.2407691994,0.067509785914,2.07053109001,-0.00341259034623,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-2.4209292244,0.0559553426375,365.114467166,36.514837167
21,-1.05555555556,10.9879518072,0.187385331346,0.143191687082,19.2663873081,0.0674733020768,2.08698660103,-0.00363606911177,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,1.61250429979,0.0521712689091,380.989009217,36.5634548214
22,-1.05555555556,11.4457831325,0.179270501738,0.127574303352,19.2902729493,0.0646834291819,2.10329690389,-0.00387570621672,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,3.82905856541,0.0488366804626,396.863551268,36.6087846255
23,-1.05555555556,11.9036144578,0.17427844933,0.115739929198,19.3126319114,0.062301563551,2.11973601186,-0.00420084923278,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,1.70792498824,0.04920805495,412.738093318,36.6512171215
24,-1.05555555556,12.3614457831,0.169427024795,0.106265720468,19.3351609005,0.0641176180732,2.13467146785,-0.00431916787754,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,3.85812773679,0.0442814786565,428.612635369,36.6939722919
25,-1.05555555556,12.8192771084,0.165715966396,0.0993071900031,19.3554343485,0.0717411146061,2.14775599571,-0.00424333979795,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,4.52931709338,0.0485059406215,444.48717742,36.7324469311
26,-1.05555555556,13.2771084337,0.163282502493,0.0920711569072,19.3776418876,0.0734557740727,2.16146531461,-0.00448673125475,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-0.714558793122,0.0488984564806,460.361719471,36.7745920588
27,-1.05555555556,13.734939759,0.160736063738,0.0861667331877,19.4000291327,0.0703581756256,2.1760087117,-0.00461854473651,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-0.636193968615,0.0463492171733,476.236261521,36.8170782298
28,-1.05555555556,14.1927710843,0.159013325345,0.0820464295943,19.4212492563,0.063769874115,2.19014791856,-0.00459212761231,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1.00022525338,0.0449842160329,492.110803572,36.8573494553
29,-1.05555555556,14.6506024096,0.158348123261,0.0790657919937,19.4418444395,0.0595567225076,2.20388422848,-0.00457362981701,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,1.55986069741,0.0399451969924,507.985345623,36.8964346787
30,-1.05555555556,15.1084337349,0.157861378242,0.0763412887095,19.460132602,0.0588583026613,2.21799712547,-0.00468235320806,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-0.933446881465,0.0500206847545,523.859887673,36.9311416734
31,-1.05555555556,15.5662650602,0.157330656185,0.0741537019075,19.4830336384,0.0543049261262,2.23063867423,-0.00471828041248,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-0.991689380351,0.0387587597826,539.734429724,36.9746029096
32,-1.05555555556,16.0240963855,0.157310583793,0.0708195025859,19.5007786127,0.0579955542772,2.24445497796,-0.00483327037998,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,3.41509851247,0.0414082182795,555.608971775,37.0082790502
33,-1.05555555556,16.4819277108,0.156407368677,0.068876616898,19.5197365922,0.0555964425009,2.2569814164,-0.00492182225582,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1.67767219083,0.042923974066,571.483513826,37.0442572133
34,-1.05555555556,16.9397590361,0.155513648498,0.0681288280092,19.5393885321,0.0531766731224,2.26890755144,-0.00498704815957,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1.42352021772,0.0378076802458,587.358055876,37.081552364
35,-1.05555555556,17.3975903614,0.155289243346,0.0675027937598,19.5566980725,0.0537858565112,2.28241117981,-0.005039220989,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1.81182600049,0.0408733157921,603.232597927,37.1144021447
36,-1.05555555556,17.8554216867,0.155358468747,0.0658735787893,19.5754111568,0.0527017663575,2.29543851244,-0.00507518643705,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-1.44558365971,0.0363964063572,619.107139978,37.1499155496
37,-1.05555555556,18.313253012,0.155516849425,0.064606741368,19.5920745718,0.0516251734861,2.30841691032,-0.00516310147314,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,1.29492410627,0.0368559655979,634.981682028,37.1815391233
38,-1.05555555556,18.7710843373,0.155302054482,0.0647652236109,19.6089483873,0.0519287493637,2.32032444312,-0.00512523772565,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,0.931543814935,0.0373812223164,650.856224079,37.2135619922
39,-1.05555555556,19.2289156627,0.1558954795,0.0640702886672,19.6260626819,0.0511436709604,2.33382184,-0.00520788868927,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-0.449411027683,0.0391374850909,666.73076613,37.2460412383
40,-1.05555555556,19.686746988,0.156007940767,0.0628929264627,19.6439810486,0.0464115647572,2.34500572962,-0.00532111272457,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-2.4786321769,0.0362709116414,682.605308181,37.2800464402
41,-1.05555555556,20.1445783133,0.155065073985,0.0633694500468,19.6605870081,0.0430655933685,2.35651662317,-0.00529110075668,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-2.06889464831,0.0363317223094,698.479850231,37.311560976
42,-1.05555555556,20.6024096386,0.155094670171,0.0631919668197,19.6772208087,0.0414057393372,2.36926746772,-0.00532483031069,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,-3.5020273318,0.0378769549715,714.354392282,37.343128348
43,-1.05555555556,21.0602409639,0.155895895682,0.0628994690172,19.6945620652,0.0399402041677,2.38246344219,-0.005408974514,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,7.40476404329,0.0141413889134,730.228934333,37.376038319
44,-1.05555555556,21.5180722892,0.155911974208,0.0632296332729,19.701036436,0.038388111524,2.39542347421,-0.0053564407675,STE_phi0_alpha0_U20_loc00_tr.dat,straight,0,0,20,0,7.03797559507,0.0407971163142,746.103476383,37.3883252808
45,-1.06748466258,0.452380952381,1.35671895634,0.355942458595,1.54387857276,0.132806928281,0.0569671713834,-0.60540428401,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-9479.28940329,15.0809840696,15.644046584,2.93772398712
46,-1.06748466258,0.904761904762,2.95803643585,0.92583322813,8.36622850901,0.533993644163,0.358989725945,-2.89813834402,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-6668.60130534,-1.06108894533,31.2880931679,15.9194321408
47,-1.06748466258,1.35714285714,2.46729667282,0.955216120168,7.88621208136,0.316308623618,0.373207698583,-2.08342382035,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-401.609137794,2.26284411321,46.9321397519,15.006046983
48,-1.06748466258,1.80952380952,2.23533608708,1.02915896875,8.90987965639,0.277603117622,0.4524984755,-1.79085193271,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-2048.06794454,2.01467223859,62.5761863359,16.9539027555
49,-1.06748466258,2.2619047619,2.11868493957,1.04874810675,9.82127900242,0.209283118893,0.564395486147,-1.68226270069,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1893.55885186,1.86991733869,78.2202329199,18.6881322266
50,-1.06748466258,2.71428571429,2.06062575512,1.04168616869,10.667193989,0.190503405359,0.686848741494,-1.61704580798,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1814.17340785,1.81102413667,93.8642795038,20.297756708
51,-1.06748466258,3.16666666667,2.0097542266,1.03404251398,11.4864668127,0.175495558196,0.790209588417,-1.57054051297,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1775.90588499,1.80406686168,109.508326088,21.8566859326
52,-1.06748466258,3.61904761905,1.9852707705,1.00633242904,12.3025922977,0.128655966265,0.87466627107,-1.5835810264,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1781.38242081,1.85276564066,125.152372672,23.4096263362
53,-1.06748466258,4.07142857143,1.92427481869,0.974428331893,13.1407481828,0.139611687179,0.963587100947,-1.52690843989,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1781.0092207,1.79420006476,140.796419256,25.0044866393
54,-1.06748466258,4.52380952381,1.83593384726,0.945666009603,13.9524101169,0.151914438305,1.06064277567,-1.41593936148,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1706.83060637,1.70739409451,156.44046584,26.5489337061
55,-1.06748466258,4.97619047619,1.73350528976,0.902214613783,14.7248026834,0.154375036561,1.16257321899,-1.26762495184,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1624.54786864,1.63107825846,172.084512424,28.0186582105
56,-1.06748466258,5.42857142857,1.62331594148,0.844168935355,15.4626714194,0.152450411846,1.26880647248,-1.10983766565,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1558.26916688,1.55951197665,187.728559008,29.4226900581
57,-1.06748466258,5.88095238095,1.48987572124,0.783405177364,16.1681649326,0.137968094456,1.36586929051,-0.932453040337,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1486.65110572,1.48865421703,203.372605592,30.7651176643
58,-1.06748466258,6.33333333333,1.35226683999,0.719299620369,16.8416037451,0.127641851334,1.46106190588,-0.759298352546,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1403.35999984,1.38680848349,219.016652176,32.0465509247
59,-1.06748466258,6.78571428571,1.18308693515,0.646675965301,17.4689694876,0.119439200851,1.5546721291,-0.558040228118,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1269.41890786,1.22442243939,234.66069876,33.2403153975
60,-1.06748466258,7.2380952381,0.965514176373,0.575384231916,18.0228748769,0.112099111225,1.64144581647,-0.344958367181,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-1059.32864575,0.985163163385,250.304745344,34.2942979952
61,-1.06748466258,7.69047619048,0.727333126903,0.503690638457,18.468543927,0.106134845332,1.71505701563,-0.166539037936,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-797.909445133,0.699292896157,265.948791928,35.1423262546
62,-1.06748466258,8.14285714286,0.52395838637,0.429675552278,18.7848907133,0.101157029226,1.7799787744,-0.0614498785347,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-513.241733811,0.420399065738,281.592838511,35.7442774436
63,-1.06748466258,8.59523809524,0.404137031846,0.359676534569,18.9750712431,0.0981716631767,1.83125130663,-0.0229220326167,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-274.862642066,0.222474623898,297.236885095,36.1061568776
64,-1.06748466258,9.04761904762,0.339721266607,0.298277690631,19.0757145253,0.0927026171921,1.86866307647,-0.0130675600629,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-121.409949081,0.120044523623,312.880931679,36.2976629906
65,-1.06748466258,9.5,0.30953367889,0.245727634682,19.1300203812,0.0913209593666,1.89729227626,-0.0121240240856,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-44.6716470532,0.0775646008813,328.524978263,36.4009972932
66,-1.06748466258,9.95238095238,0.291182868741,0.205119879713,19.1651091293,0.0908881592704,1.92347208289,-0.0127424681763,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-11.0885572361,0.0546843530711,344.169024847,36.4677648865
67,-1.06748466258,10.4047619048,0.278232120822,0.174890516027,19.189847289,0.0853505776673,1.94442154968,-0.0136589407235,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,4.40340388387,0.0476668646131,359.813071431,36.514837167
68,-1.06748466258,10.8571428571,0.267932050503,0.151380639191,19.2114108706,0.0816570791855,1.96408800196,-0.0139462998844,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,8.55520401078,0.0446252025331,375.457118015,36.5558687948
69,-1.06748466258,11.3095238095,0.261034979021,0.132967347494,19.2315984622,0.0782391615424,1.98382118361,-0.0143407242829,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,6.84586808899,0.0452137609702,391.101164599,36.5942821605
70,-1.06748466258,11.7619047619,0.256796936063,0.117666412686,19.2520523065,0.0763823069953,2.00320666308,-0.0146605041147,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,3.34698506754,0.0440504659204,406.745211183,36.6332021571
71,-1.06748466258,12.2142857143,0.252992187844,0.105632793394,19.2719798982,0.0740735413905,2.02289001508,-0.014727393065,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,2.08408152216,0.0438212067163,422.389257767,36.6711207896
72,-1.06748466258,12.6666666667,0.250119538451,0.0958058488398,19.2918037774,0.0753319601074,2.04234843198,-0.0147042844077,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,0.346169520263,0.0420595823894,438.033304351,36.7088420758
73,-1.06748466258,13.119047619,0.248059363025,0.0878885101256,19.3108307314,0.0756849568446,2.06011857203,-0.0146300545463,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,1.2027527219,0.0415303670771,453.677350935,36.7450469562
74,-1.06748466258,13.5714285714,0.246404373671,0.0818227067481,19.3296182784,0.0754264987899,2.07560013556,-0.0145022698903,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-0.943354700098,0.0427778830326,469.321397519,36.7807962881
75,-1.06748466258,14.0238095238,0.245695123772,0.0770016412461,19.3489701778,0.0721906273447,2.0895008384,-0.0142747041053,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-2.02491652436,0.0398014324798,484.965444103,36.8176194815
76,-1.06748466258,14.4761904762,0.24517625284,0.0731367532503,19.3669755878,0.0720290097023,2.1058001041,-0.0141941134439,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-3.28874431261,0.0420710486341,500.609490687,36.8518805468
77,-1.06748466258,14.9285714286,0.244131110954,0.0692492530413,19.3860077288,0.0724545092721,2.11974192467,-0.0142329674466,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-4.77208576735,0.0394545564085,516.253537271,36.8880952973
78,-1.06748466258,15.380952381,0.244303541975,0.0666346064667,19.4038562186,0.0712392685022,2.13375267585,-0.0143501271248,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-5.26001224755,0.0387621816403,531.897583855,36.9220577718
79,-1.06748466258,15.8333333333,0.244753068756,0.0649858594721,19.4213914913,0.068141851382,2.14546849282,-0.0145156313662,Sr20R21_phi0_alpha0_U20_loc00_tr.dat,serrated,0,0,20,0,-7.21116425522,0.0383666602673,547.541630439,36.9554242502
