xflr5 v6.12
NACA 0018
Alpha =   0.0,  Re =   263210,  Ma= 0.0600,  ACrit= 9.0


Top Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.00000   2.22951   0.00000   0.00000  0.00000  0.00000   0.00020   0.00009   0.07170
 0.00078   2.22948   0.29631   0.00902  0.00077  0.00000   0.00020   0.00009   0.07170
 0.00308   2.25386   0.55874   0.01517  0.00248  0.00000   0.00022   0.00010   0.07229
 0.00688   2.26882   0.76718   0.01816  0.00412  0.00000   0.00025   0.00011   0.07265
 0.01215   2.30447   0.92182   0.01809  0.00506  0.00000   0.00029   0.00013   0.07349
 0.01885   2.32861   1.03184   0.01695  0.00541  0.00000   0.00034   0.00014   0.07405
 0.02694   2.35929   1.10946   0.01515  0.00534  0.00000   0.00039   0.00017   0.07474
 0.03639   2.38493   1.16393   0.01341  0.00507  0.00000   0.00046   0.00019   0.07530
 0.04717   2.41005   1.20235   0.01179  0.00472  0.00000   0.00052   0.00022   0.07585
 0.05924   2.43345   1.22940   0.01038  0.00435  0.00000   0.00059   0.00024   0.07635
 0.07256   2.45581   1.24829   0.00916  0.00398  0.00000   0.00067   0.00027   0.07681
 0.08709   2.47758   1.26116   0.00811  0.00364  0.00000   0.00074   0.00030   0.07726
 0.10280   2.49921   1.26948   0.00720  0.00333  0.00000   0.00082   0.00033   0.07770
 0.11965   2.52109   1.27428   0.00640  0.00305  0.00000   0.00091   0.00036   0.07813
 0.13760   2.54342   1.27633   0.00571  0.00279  0.00000   0.00100   0.00039   0.07857
 0.15660   2.56594   1.27623   0.00510  0.00256  0.00000   0.00109   0.00042   0.07901
 0.17661   2.58695   1.27461   0.00458  0.00236  0.00000   0.00118   0.00046   0.07941
 0.19760   2.59958   1.27244   0.00419  0.00218  0.00000   0.00127   0.00049   0.07965
 0.21951   2.47444   1.26655   0.00464  0.00349  0.03488   0.00131   0.00053   0.07171
 0.24231   2.14304   1.25390   0.00647  0.00517  0.05011   0.00127   0.00059   0.06357
 0.26594   1.88336   1.24298   0.00792  0.00536  0.05346   0.00126   0.00067   0.05531
 0.29035   1.75604   1.23481   0.00821  0.00506  0.05238   0.00132   0.00075   0.05062
 0.31551   1.69334   1.22663   0.00789  0.00473  0.05074   0.00142   0.00084   0.04827
 0.34135   1.65410   1.21756   0.00742  0.00444  0.04933   0.00154   0.00093   0.04682
 0.36782   1.62312   1.20763   0.00694  0.00418  0.04817   0.00166   0.00102   0.04566
 0.39488   1.59545   1.19695   0.00649  0.00396  0.04719   0.00179   0.00112   0.04456
 0.42246   1.57360   1.18591   0.00629  0.00376  0.04637   0.00192   0.00122   0.04370
 0.45050   1.55842   1.17483   0.00615  0.00358  0.04572   0.00207   0.00132   0.04312
 0.47895   1.54636   1.16354   0.00600  0.00342  0.04522   0.00222   0.00144   0.04264
 0.50774   1.53966   1.15226   0.00580  0.00326  0.04483   0.00239   0.00155   0.04244
 0.53680   1.53634   1.14093   0.00559  0.00311  0.04454   0.00257   0.00167   0.04240
 0.56607   1.53518   1.12953   0.00537  0.00297  0.04434   0.00276   0.00179   0.04247
 0.59547   1.53550   1.11806   0.00515  0.00284  0.04421   0.00296   0.00192   0.04260
 0.62492   1.53695   1.10651   0.00494  0.00272  0.04414   0.00316   0.00206   0.04279
 0.65434   1.53938   1.09483   0.00472  0.00260  0.04413   0.00338   0.00220   0.04302
 0.68365   1.54281   1.08298   0.00451  0.00249  0.04416   0.00362   0.00234   0.04329
 0.71275   1.54737   1.07089   0.00430  0.00239  0.04424   0.00386   0.00249   0.04362
 0.74154   1.55331   1.05848   0.00409  0.00229  0.04437   0.00413   0.00265   0.04401
 0.76991   1.56100   1.04563   0.00388  0.00219  0.04456   0.00441   0.00282   0.04448
 0.79774   1.57097   1.03221   0.00366  0.00209  0.04481   0.00473   0.00301   0.04507
 0.82489   1.58394   1.01807   0.00342  0.00200  0.04512   0.00508   0.00321   0.04579
 0.85123   1.60088   1.00306   0.00318  0.00191  0.04553   0.00549   0.00343   0.04670
 0.87658   1.62311   0.98705   0.00291  0.00182  0.04603   0.00597   0.00367   0.04784
 0.90075   1.65229   0.96998   0.00263  0.00173  0.04665   0.00653   0.00395   0.04928
 0.92350   1.69042   0.95192   0.00233  0.00165  0.04740   0.00721   0.00426   0.05105
 0.94455   1.73945   0.93327   0.00202  0.00158  0.04827   0.00803   0.00461   0.05320
 0.96352   1.80045   0.91478   0.00172  0.00153  0.04925   0.00901   0.00500   0.05570
 0.97989   1.87117   0.89774   0.00144  0.00149  0.05024   0.01009   0.00539   0.05837
 0.99280   1.94453   0.88366   0.00122  0.00148  0.05115   0.01118   0.00574   0.06093
 1.00000   1.98122   0.87708   0.00112  0.00147  0.05162   0.01174   0.00592   0.06214
