,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
35,0.0,1.05405405405,2.02165464102,1.63731022216,7.44149572381,0.0265726131388,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.885377932
36,0.0,1.17117117117,2.03165206786,1.63324636089,7.66230575188,-0.00904910577563,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.95074628027
37,0.0,1.28828828829,2.02460998834,1.63857907915,7.89077153245,-0.0477527893267,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.80799206145
38,0.0,1.40540540541,2.0190481925,1.63363099172,8.10251835046,-0.0743434768194,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.82030480637
39,0.0,1.52252252252,2.02829053829,1.63234365308,8.31570720166,-0.106796300759,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.83996451668
40,0.0,1.63963963964,2.03754459494,1.63363446353,8.53119854145,-0.136666672547,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.85469168522
41,0.0,1.75675675676,2.03049227253,1.63761101949,8.74841468476,-0.15372345402,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.83231562658
42,0.0,1.87387387387,2.01163657639,1.63784311009,8.9630102086,-0.169492950284,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.78545347635
43,0.0,1.99099099099,2.00464380703,1.64505572116,9.17211737249,-0.170475790568,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.7702494885
44,0.0,2.10810810811,2.00173574684,1.65410379439,9.37944388916,-0.167532823215,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.73642837567
45,0.0,2.22522522523,2.00547965779,1.65868029919,9.5828093746,-0.172266301612,Sr20R21_phi0_alpha0_U20_loc10_Reprocessed.dat,serrated,0,0,20,0.5,1.72706855996
