,x [mm],y [mm],v_rms [m/s],u_rms [m/s],u [m/s],v [m/s],case_name,trailing_edge,phi [deg],alpha [deg],U [m/s],z [z/lambda],u_rate_of_change
34,0.0,0.122807017544,0.393585935313,1.20777270758,2.18630685415,-0.741488548103,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,3.51747453906
35,0.0,0.245614035088,0.387232978195,1.18686085852,2.61827741158,-0.767270584888,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,5.59358081031
36,0.0,0.368421052632,0.406732327703,1.18990527466,3.30520838829,-0.804072209728,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,5.83934873183
37,0.0,0.491228070175,0.423328522655,1.20345537017,4.02232139044,-0.841424034007,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,6.0242061132
38,0.0,0.614035087719,0.510586399342,1.28334946172,4.76213617627,-0.884355780304,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,6.07523136504
39,0.0,0.736842105263,0.61834277754,1.39228252207,5.5082172211,-0.930104990478,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,5.83717466788
40,0.0,0.859649122807,0.70517382829,1.48596433621,6.22506323295,-0.976405674117,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,3.80337415386
41,0.0,0.982456140351,0.794748026595,1.54757840603,6.69214426939,-1.01475547936,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,3.72984272267
42,0.0,1.10526315789,0.881182560337,1.61011459408,7.15019513006,-1.05377143044,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,2.97261820082
43,0.0,1.22807017544,0.94081391762,1.64476140554,7.5152535056,-1.08532952535,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.99670535042
44,0.0,1.35087719298,0.972938343739,1.64750278511,7.7604629346,-1.10517012836,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.9807790281
45,0.0,1.47368421053,1.00268711567,1.64994807024,8.00371649946,-1.12439647017,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.89393955188
46,0.0,1.59649122807,1.02332337649,1.65072017426,8.23630556723,-1.14005286436,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.86455893611
47,0.0,1.71929824561,1.04053623584,1.65076342914,8.46528648921,-1.1540690023,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.89005419578
48,0.0,1.84210526316,1.05695654296,1.65536251784,8.69739840799,-1.17166948128,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.88291204121
49,0.0,1.9649122807,1.06946445338,1.6655412108,8.92863322007,-1.18685767007,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.88024941547
50,0.0,2.08771929825,1.08167508184,1.67468355017,9.15954104302,-1.20137443498,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.84722257547
51,0.0,2.21052631579,1.08976058629,1.6851216207,9.38639293826,-1.21656103501,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.83125278253
52,0.0,2.33333333333,1.09590368812,1.69599813695,9.61128363085,-1.23203327591,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.82947257192
53,0.0,2.45614035088,1.10447875228,1.70309517192,9.83595570108,-1.24761988715,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.75624746449
54,0.0,2.57894736842,1.11221133974,1.69953677757,10.0516352143,-1.26300469578,Sr20R21_phi0_alpha0_U20_loc00.dat,serrated,0,0,20,0,1.75223709945
